,records-count-all,records-count-wo-outliers,entities-count,entities-with-later-severe-debt,sociodemographic-age-mean,sociodemographic-age-stddev,sociodemographic-age-skewness,sociodemographic-m-w-ratio,sociodemographic-unknown-gender-ratio,amount-mean,amount-stddev,amount-count-unknown,amount-count-too-high,payment-days-diff-mean,payment-days-diff-stddev,payment-delayed-days-mean,payment-delayed-days-stddev,payment-delayed-days-count,payment-prepaid-days-mean,payment-prepaid-days-stddev,payment-prepaid-days-count,payment-on-time-count
Meruingo,284,284,236,48,34.044843049327355,10.104288387088285,0.5982453011784311,0.39759036144578314,0.01694915254237288,164.02464788732394,181.263939021706,0,0,28.661971830985916,23.601261402176252,30.724528301886792,23.09446479186699,265,-2.0,0.0,1,18
Merwaalo,2209,2209,1186,8,47.16022099447514,13.466626149138625,0.3831858802143406,0.8540031397174255,0.0042158516020236085,114.41828881846989,86.29018047976433,0,0,-1.5853327297419646,16.61319547290449,19.82803738317757,21.752051334750718,535,-8.807740324594258,4.141895205412448,1602,72
Monveno,206918,206878,148861,1346,41.55695455998863,15.231217144540883,0.5618037270944946,0.8460171453601152,0.009102451280053204,172.43960549216786,247.1986284166722,0,24,1.8289813319927686,15.934766961289574,14.431027069187925,11.775083461036775,100003,-11.015279889926859,8.38817296919137,96663,10212
Mothnevy,3474,3474,2258,1,51.236363636363635,17.676860721255846,1.2579362357946926,1.0,0.9769707705934455,1925.1492949110975,2331.5682177154135,0,212,-4.284974093264249,29.732078803430852,28.21005917159763,36.60649883287437,1014,-18.754204398447605,8.133372297898887,2319,141
Muexnau,18181,18180,13974,10,49.82283666154634,13.70165752011405,-0.23188167809548443,0.3615504784221832,0.00207528266781165,118.21303630363036,72.99098905700713,0,0,-3.7325632563256326,7.224003970355388,4.304689693906206,11.176237625892037,3561,-6.168854282536151,3.6339408430888054,13485,1134
Naestern,43,43,42,0,50.73809523809524,13.069520200705304,-0.02003935552971756,0.6153846153846154,,165.37209302325581,141.91432450697292,0,0,2.5348837209302326,16.093258500767508,9.380952380952381,20.749013035566616,21,-4.4,2.615339366124404,20,2
Ningber,41095,41095,22654,111,53.05418233082707,13.906107220729483,0.29153970025368425,2.0501618122977345,0.0015008387039816369,266.7374269005848,262.45845739879906,0,5,0.06295169728677455,46.10540201008684,65.077731918239,50.05572515192179,10176,-26.521550337729174,7.140455645665548,24872,6047
Ningui,4922236,4922236,845107,26584,39.57197635547065,12.954612173809723,0.5845004276375699,0.17359355036433835,0.007664118271414153,5487.20473992863,2518.333425629388,0,1679106,-30.0,0.0,,,0,-30.0,0.0,4922236,0
Nitvermu,7,7,1,1,41.0,0.0,0.0,,,76.85714285714286,16.48747205286115,0,0,12.571428571428571,9.57462633149488,12.571428571428571,9.57462633149488,7,,,0,0
Numimo,1344521,1342099,947010,12071,41.663475175412856,15.354406804619206,0.694489556718327,0.5779725641691736,0.005796137316395814,158.45886745562748,259.0281691323783,0,0,29.982386545254858,29.908830935464007,30.096319087688386,29.905699131793426,1337087,-19.676190476190477,21.04394279465403,105,4907
Numtleal,3379,3379,506,88,45.78547854785479,11.946395137621778,0.7354083342001151,3.857142857142857,0.2608695652173913,1619.7891839378237,2254.1936789923175,0,291,3.15211601065404,22.897404981551414,24.481629392971247,23.147336418853264,1252,-14.255167498218103,8.393505025392468,1403,724
Nyparsi,93582,93470,57331,380,34.89803084306737,11.728927203986986,0.5028619191244076,0.6252348152786474,0.004011791177547923,178.4352091580186,142.83662565163502,0,0,0.05910987482614743,15.78182614127039,8.149921203651393,23.887433936758352,33631,-5.051252633162805,3.066494425850475,53168,6671
Nyurever,1566,1566,1466,132,39.81856540084388,13.677755866254595,-0.4519333916762468,2.1016949152542375,0.001364256480218281,145.7956577266922,330.62513123070886,0,0,17.495530012771393,37.234144616972955,38.39116719242902,33.42733044088659,951,-17.72762645914397,6.916099149103761,514,101
Otheso,6501804,6501804,847770,57794,43.372366133633335,13.983528773190637,0.1696543248927023,0.25870253751932204,0.00010969956474043667,78.33626630615092,72.37343861636312,0,5,0.0,0.0,,,0,,,0,6501804
Othfole,754400,754400,113632,307,56.98850686150944,13.144098179115241,0.15128514976166235,0.3628401513786268,0.0017248662348634187,294.6274872307424,457.2720213787208,0,65,0.0,0.0,,,0,,,0,754400
Paiafei,436046,433177,172162,2130,38.751972578720505,12.970554203620292,0.7518547338554409,0.24604192786541096,0.007086348903939313,95.81529365319395,75.16411104260374,0,0,-7.382499532523656,24.177501233135757,21.1598659405111,31.96612663699079,107415,-17.292898641429755,8.775443366313041,316362,9400
Parfae,8136744,8135856,1333513,9005,40.78191477644951,15.237718747483154,1.495100096936259,0.6280528402757913,0.009811677876406154,33.184057138034504,41.01378917272622,0,0,-7.513751472494105,13.519356069879946,13.006601577468032,17.06478622118435,902966,-10.302856568464675,10.499821675353935,7073312,159578
Partymuu,6317,6317,538,23,51.478350515463916,11.117833976577774,-0.4067023751264823,23.095238095238095,0.05947955390334572,671.3040637450199,1225.4402269292104,0,40,-8.155611841063797,29.580412384340505,28.845978322875073,28.59741225240568,1753,-23.829598506069093,12.05536565249156,4284,280
Peersuap,1146,1146,635,5,46.018181818181816,14.158185437266777,0.4250673114042515,0.9702970297029703,0.6866141732283465,230.1065502183406,293.86510139408637,0,1,-9.017452006980802,23.5477245700239,25.93305439330544,28.364994696694108,239,-18.786363636363635,8.596764478810167,880,27
Pemonoi,35529,35473,22135,563,41.160884150544554,12.706178835063643,0.3274693520810746,0.5312738632419299,0.003478653715834651,101.92924222341296,69.85018908183024,0,0,26.234967440024807,32.91020636748135,31.15856743880401,33.00744461209641,30435,-4.641113153058545,3.4960278882000453,3809,1229
Picfio,3311629,3311629,145421,6310,53.228795359596724,16.70184676659569,0.193319661275688,1.1879167171778398,0.007124143005480639,45.015310572827644,41.442320542553404,0,1,-2.7589261961409326,13.26071009447155,10.436943318374908,15.017828231187218,968462,-9.479485759828817,7.0605131889569,2030102,313065
Picteri,17365,17365,12873,141,38.25441337950841,12.966699299576813,0.7137061765449004,0.17388493859082094,0.012506797172376292,71.3769651598042,64.139943989501,0,0,-1.3167866397926864,4.931038141698007,7.702279202279202,7.54103459629015,1404,-6.954367127813339,3.369492895612002,4843,11118
Pletion,13301,13300,10084,195,53.42040408525755,14.399984773284245,0.3069728305170546,1.3241510330087864,0.029452598175327253,732.5652099400171,1484.9617678878838,0,1625,-2.1694736842105264,26.172516156812872,23.639282341831915,30.378517113818145,4236,-14.920763447079237,10.60420337973701,8645,419
Pofialed,1181,1180,1009,4,47.15888778550149,12.629098111919015,-0.7000588748419411,0.27756653992395436,0.0009910802775024777,200.08983050847456,131.51487148609914,0,0,1.3652542372881356,16.546789729705644,9.783842794759826,23.939954016943414,458,-4.629032258064516,3.022143391101549,620,102
Porfoli,224360,224299,74328,809,50.075913138919375,13.801351679322835,0.29532709792664025,3.387784090909091,0.002583144979011947,408.6866222976595,606.1041379237402,0,371,-10.571990958497363,17.42285305092903,13.236008550330354,17.936509066275274,51460,-18.054344997279202,8.590337455099048,169068,3771
Pormamer,92,92,18,4,47.76470588235294,9.866934751182002,0.38154766168915344,3.5,,574.7391304347826,350.79799927436306,0,0,-8.130434782608695,30.946383293389857,50.0,55.850992232308045,12,-17.28205128205128,6.660055893923913,78,2
Renittyu,3119,3119,1056,47,39.75560298826041,13.68314378286717,1.0052955085865547,9.5,0.045454545454545456,214.40859525336754,320.0361566776926,0,0,5.578069894196858,36.62442827385715,44.32497387669802,44.34831653916811,957,-16.289713541666668,8.489656600167933,1536,626
Ridifful,3583,3582,1540,36,49.36878453038674,11.354991024856307,0.12054474789019588,4.096345514950166,0.003896103896103896,1651.1184638109305,2255.3932323749755,0,197,-0.25237297599106645,25.28698404177547,23.48542159180457,27.9643049000279,1269,-15.239205955334988,8.045302953750843,2015,298
Rydifuo,76372,76333,48529,1736,40.66548133096266,13.011848988529614,0.5122624261039697,6.100131945462542,0.0020400173092377754,411.8629390418048,315.18148259128964,0,1,-23.010807907458112,15.77887001549221,56.57820607857672,73.2693427670619,1349,-24.49721320020851,6.294200051462103,74817,167
Ryvery,2594485,2593968,781340,10327,50.014305186143766,16.009785443869845,-0.12403007028533028,0.29188591196674196,0.00013182481378145238,124.43330994548833,118.0694209035378,0,8,-0.2645067325425757,17.335362583687484,15.661542745238256,18.397685373719728,973278,-10.340613692398176,5.513671518274775,1540446,80244
Secbero,54187,54182,28171,63,36.18758453762369,9.057042657211639,0.4623567201915895,0.1722391932041679,0.005608604593376167,89.171926910299,62.03056670107985,0,0,-6.7259421948248495,11.366302064804598,4.5588103756708405,11.231960951930892,13416,-11.187266705220546,8.453492780632681,38042,2724
Secbout,322870,322693,112337,1032,47.22292590844738,14.240023527405118,-0.19501892579096544,1.6912641908793535,0.003961295031912905,234.10754287768626,218.3490239531552,0,15,-8.543494900726078,21.457865535975554,19.860614517421457,25.91134532026607,72382,-17.24716897342906,9.649301950971042,243198,7113
Seccitpe,1481,1481,581,26,35.92321428571429,13.129417502466804,0.7558000409271681,2.230337078651685,0.010327022375215147,127.53342336259284,269.10056329143964,0,0,1.773126266036462,15.85641537225188,15.624778761061947,17.877778419989415,565,-7.203252032520325,4.007169952356893,861,55
Sirient,122205,122018,54877,723,35.951899316131254,11.785393853769431,0.5050233696031807,25.324194324194323,0.002715163000892906,907.8437279745611,353.4593748617084,0,0,-1.5139733481945288,19.078137242745406,12.210665638653303,27.809955605553043,38910,-8.730817576776003,6.338011713798496,75577,7531
Tainpeo,21662,21662,1371,56,51.060483870967744,12.339435330759585,-0.3192622695798633,20.360655737704917,0.049598832968636035,1267.5168043292508,1762.553726279299,0,596,15.74965377158157,35.8739080753983,35.33295883155445,36.09887041242698,12461,-11.1729230075527,6.26964041622452,8871,330
Tencedeu,9172,9172,4703,3,45.7572402044293,12.108848098158552,-0.3503850871013829,0.03147007042253521,0.0034020837763129915,229.56879633667685,190.4991954812762,0,0,-2.226341037941561,8.524675683487239,4.843861354065436,8.434636757896632,3087,-6.542075087849084,5.904896012179243,5407,678
Tersdif,388282,387168,50358,645,48.92980893212988,14.7182485273433,-0.2085975829370168,2.47934805321446,0.008042416299297033,95.17195466544067,65.47059798997364,0,0,-7.4588808992478715,21.46173697248516,16.344934463979744,29.061407579961944,91629,-17.76337161026389,9.024020342925297,246885,48654
Theresty,1359,1359,912,25,33.45995423340961,8.408417543237816,-0.06422680175114544,0.22930800542740842,0.006578947368421052,73.22551928783383,62.16208020356776,0,0,-7.33112582781457,14.608025286793735,12.231607629427794,12.433946825337063,367,-14.79222108495394,6.205193196029171,977,15
Tionbody,827,818,312,3,47.264,13.938805687719446,-0.6984816503022019,1.4337349397590362,0.3525641025641026,355.7322738386308,721.6434537141404,0,0,-9.794621026894866,21.839923748840263,23.815068493150687,21.96946929626868,146,-25.19517543859649,7.537280063703019,456,216
Tiondifi,159,159,103,2,47.03030303030303,9.977200823467923,0.2034942531704327,2.2941176470588234,0.4563106796116505,700.2974683544304,791.8025062987188,0,1,25.68553459119497,29.20457842213856,32.595419847328245,27.55307955134343,131,-8.454545454545455,3.7261639148943995,22,6
Tionpary,5,5,1,0,82.0,0.0,0.0,,,,,0,0,0.0,0.0,,,0,,,0,5
Tionse,8361151,8359220,1128419,14106,43.73366117263609,15.415661300967752,0.5016756025997141,0.4008528917155652,0.001199022703446149,34.14765654760336,38.25989945461022,0,4,-0.22394206636504363,26.22110877168886,17.454202995237985,30.288581784655676,3651396,-14.624724327054837,8.526812450748325,4485841,221983
Tionsoi,167896,167880,123326,1869,43.53772847009323,15.040803129228836,0.76709523892856,1.0356869657764327,0.007395034299336718,100.1709743327039,118.5920977725518,0,0,-31.52039552060996,6.308609004220234,15.146288209606986,18.60955593514398,1374,-31.93252787545457,4.278164749969117,166365,141
Tlening,27668,27668,12616,474,50.51645481455685,14.95526555398993,0.16826547181474047,1.3071955719557196,0.008798351299936589,99.38873025626198,156.94533354084703,0,0,-7.932159895908631,13.770792582670945,12.48603066439523,12.580577459672558,5870,-13.75041097177211,7.246090856092926,21291,507
Tleveri,66859,41703,32897,536,44.93460073570103,14.13366872345242,0.5613971072163954,1.8124566273421234,0.014439006596346171,240.81115091937346,262.52920019085275,0,0,-5.605999568376376,18.97931509132579,17.347698449976516,26.93393328061263,8516,-15.271795692898888,8.406570227766172,24982,8205
Tweendif,6518,6518,975,38,47.479297365119194,13.223724374468041,0.18748858452510891,10.113924050632912,0.09948717948717949,787.0452495723838,1352.849666617993,0,86,-4.768640687327401,24.229207198338788,23.458823529411763,23.979418234637624,1955,-17.5311004784689,9.848580246622362,4389,174
Tweeno,1239763,1238642,445383,2830,38.43770762804813,13.145875513132568,0.48971311356302893,0.27622361521237343,0.004387235255948251,111.3196179731488,124.09980260738271,0,0,5.350312681145964,19.066679220910483,18.307780341628852,17.690643514745634,645730,-9.564788543084036,5.683668591471805,543113,49799
Tyuimipa,2,2,1,0,55.0,0.0,0.0,,,43.0,0.0,0,0,-16.0,1.0,,,0,-16.0,1.0,2,0
Vermoth,211811,211299,123626,1439,55.06793519316738,14.716913184871736,0.5482083839062678,2.1747395695626883,0.028723731253943344,1322.116879156623,1664.5426631453884,0,4686,-5.223668829478606,26.189032329457252,26.154544093987354,34.29258699253772,53454,-16.30743208009595,8.258493207355759,153416,4429
Vertlei,136656,136656,4322,70,51.52692687747036,13.857200374390095,0.1823547909533334,15.804,0.02799629801018047,591.3373021731428,1148.0152869456454,0,926,-12.466704718417047,19.64299394932178,18.053099659952917,21.153394447109992,22938,-18.871094794247117,12.03824454959885,112222,1496
Wamunit,87860,87860,62723,494,39.694883720930235,13.506721294078808,0.791819382962966,1.5557484807143742,0.014380689699153421,147.394290527466,184.9280326498063,0,0,-10.668335989073526,3.603933580031467,,,0,-10.670765027322405,3.6007464260302005,87840,20
Waporing,5759,5759,4667,104,35.80087881591119,10.918984696149643,-0.6593214831253892,1.0129813933362182,0.0032140561388472252,163.96093071713838,166.4716583227562,0,0,-15.067720090293454,10.57412165722557,13.11661807580175,15.243727886397805,343,-17.031908938234746,6.940441097618603,5359,57
Wardmai,202010,201999,84045,2075,35.63871093941024,9.579876704593316,0.2754431002379228,0.27626607349625204,0.003283955024094235,121.83622614973977,150.9622326088582,0,1,3.3794276209288165,24.510503902522277,23.08305728264193,29.480871702175484,78488,-10.02185258822694,4.5270261894381525,112664,10847
Wardmone,732,732,205,16,51.21621621621622,11.559797845270513,-0.32732266034668167,20.444444444444443,0.05853658536585366,2722.2848664688427,1787.974727193466,0,58,-9.836065573770492,32.91304008248266,32.09183673469388,34.98544500120769,196,-25.64638783269962,12.023758810190406,526,10
